datetimestamp,gameid,x_cord,y_cord,points,direction,speed
2019-04-16 15:17:49,19,62,48,541,82,4
2019-07-02 07:24:04,75,63,42,825,257,5
2019-03-09 10:11:12,54,75,90,177,111,4
2019-11-27 22:17:45,62,68,77,450,275,5
2019-10-08 01:27:39,80,78,63,472,355,1
2019-09-22 18:20:49,56,40,47,451,55,3
2019-08-14 23:17:53,48,73,62,953,352,7
2019-03-17 14:32:39,43,67,96,537,123,9
2019-11-19 12:29:58,24,91,68,235,250,6
2019-10-19 14:24:06,84,77,26,147,166,8
2019-02-07 04:28:49,45,85,88,764,13,5
2019-01-18 02:41:20,1,64,92,885,254,0
2019-03-15 02:12:03,44,61,53,920,326,9
2019-05-25 11:58:59,10,64,53,180,236,3
2019-01-05 17:52:57,34,56,86,90,285,3
2019-10-31 05:56:18,79,44,53,855,320,3
2019-06-20 21:26:50,23,87,83,814,31,8
2019-10-26 19:18:05,34,95,90,787,355,1
2019-02-08 08:40:12,5,67,74,538,356,1
2019-10-15 02:35:23,10,87,57,781,49,3
2019-04-26 10:41:52,18,72,48,306,213,5
2019-08-11 14:16:32,60,73,94,962,148,7
2019-06-18 04:42:45,58,72,68,908,277,5
2019-12-19 05:24:37,83,87,53,59,216,5
2019-06-15 06:55:12,7,70,62,124,95,8
2019-04-10 13:22:43,0,23,56,326,6,3
2019-12-06 05:10:11,72,44,98,446,121,4
2019-02-09 02:52:09,60,77,72,379,236,1
2019-12-20 16:41:39,21,67,84,179,181,1
2019-07-04 03:47:16,68,70,77,276,260,3
2019-12-12 07:46:12,55,55,45,236,77,5
2019-05-28 05:35:47,96,47,74,825,202,2
2019-10-07 02:03:50,11,61,54,603,151,7
2019-05-14 00:02:45,19,66,75,475,140,5
2019-12-02 22:18:15,2,37,63,315,217,4
2019-06-10 08:05:37,29,61,48,705,240,8
2019-04-16 15:23:53,55,33,98,323,289,7
2019-12-30 14:04:25,90,69,94,642,230,5
2019-08-02 15:23:49,56,90,90,771,309,6
2019-04-09 14:54:58,48,63,91,436,171,1
2019-09-29 14:20:08,16,60,87,566,79,0
2019-07-12 04:20:35,69,59,88,363,64,6
2019-01-06 21:05:18,19,77,58,952,236,0
2019-06-24 01:46:06,26,96,72,776,37,9
2019-04-12 18:45:53,70,49,89,387,115,6
2019-07-10 05:37:04,4,22,58,524,319,8
2019-10-11 14:34:27,99,27,90,511,149,5
2019-03-05 07:33:21,32,78,77,213,151,1
2019-11-07 11:23:48,50,8,61,667,256,6
2019-06-01 06:38:25,29,67,41,110,54,1
2019-12-20 06:22:11,51,16,25,476,152,3
2019-08-03 16:24:54,66,64,79,49,249,7
2019-06-15 23:12:14,30,42,58,761,217,5
2019-08-30 21:32:21,50,57,40,715,121,2
2019-10-27 13:37:15,95,67,93,437,29,8
2019-01-14 20:23:19,50,54,48,795,268,3
2019-04-24 08:52:00,21,21,30,406,229,0
2019-07-12 00:14:24,55,75,45,598,166,1
2019-07-24 05:02:54,82,89,83,981,176,7
2019-09-18 01:00:17,70,82,76,670,133,9
2019-08-31 01:28:27,79,19,56,98,161,2
2019-04-18 10:08:09,23,69,59,27,302,4
2019-09-22 12:49:14,62,51,86,327,270,8
2019-11-22 06:42:50,16,41,17,818,107,1
2019-09-21 14:28:51,41,57,81,948,296,3
2019-05-02 15:15:42,62,29,47,550,168,7
2019-12-16 08:14:51,78,35,81,265,297,9
2019-12-12 05:12:49,34,48,45,160,51,8
2019-01-31 15:07:55,33,15,90,929,121,8
2019-05-18 14:16:54,84,48,80,202,30,8
2019-11-26 21:46:09,26,66,83,50,332,3
2019-11-21 07:37:04,49,60,82,860,3,4
2019-04-27 11:57:27,87,80,80,6,233,7
2019-01-04 10:53:27,34,33,31,72,6,5
2019-12-31 15:51:21,19,65,98,917,210,6
2019-02-01 02:54:40,32,87,91,390,152,2
2019-03-02 00:43:48,94,74,87,266,244,5
2019-08-20 18:16:46,13,48,61,964,300,6
2019-02-15 01:26:02,5,76,96,451,304,9
2019-07-15 12:51:15,34,33,90,633,247,5
2019-07-24 07:58:35,53,95,72,308,167,9
2019-01-08 06:19:35,82,63,17,420,238,0
2019-03-17 15:17:36,99,43,43,934,244,4
2019-01-19 19:36:31,90,6,79,67,335,6
2019-10-15 17:19:09,3,65,28,846,334,7
2019-08-28 09:18:14,97,52,76,639,55,6
2019-08-16 07:24:56,39,42,82,972,348,6
2019-04-23 05:13:08,64,82,83,837,145,0
2019-08-01 22:41:57,84,78,54,379,123,2
2019-10-11 21:13:08,96,78,54,671,199,9
2019-02-06 14:38:53,58,15,82,201,5,3
2019-08-31 23:35:40,77,36,83,388,80,5
2019-10-07 23:24:52,56,62,59,257,314,0
2019-12-02 11:39:41,87,90,76,213,124,6
2019-01-02 11:39:14,38,40,83,830,275,3
2019-09-13 09:20:27,27,57,48,774,129,1
2019-06-28 14:45:06,67,67,37,151,43,0
2019-01-17 06:39:47,84,51,68,148,83,6
2019-03-14 06:27:35,24,20,8,259,279,7
2019-07-24 23:11:38,26,49,92,384,191,5
2019-06-30 02:06:48,83,57,54,892,322,0
2019-07-08 07:15:36,25,60,95,199,354,9
2019-12-18 01:30:45,21,82,44,188,69,3
2019-04-17 03:58:55,6,40,93,285,332,6
2019-07-17 03:14:59,12,69,60,572,10,6
2019-09-19 20:54:06,94,63,59,887,150,1
2019-08-08 17:39:55,21,68,91,760,244,5
2019-05-19 09:27:26,10,42,35,504,316,9
2019-12-18 10:40:02,60,56,68,33,279,2
2019-06-22 16:28:18,66,54,92,460,164,4
2019-11-08 05:17:49,27,25,98,7,289,8
2019-10-23 02:12:26,25,62,71,640,142,5
2019-03-14 21:43:07,53,84,76,866,81,3
2019-06-16 21:24:43,93,79,40,844,37,3
2019-09-11 09:56:24,87,64,59,772,342,7
2019-05-17 16:34:25,73,40,29,774,118,1
2019-06-03 18:29:47,15,63,66,6,146,7
2019-10-18 00:59:57,84,74,91,828,76,3
2019-03-25 17:24:45,95,77,82,95,175,6
2019-12-15 12:25:39,95,70,70,251,191,1
2019-09-13 09:35:37,18,31,92,94,269,2
2019-03-27 20:09:46,22,75,68,420,312,3
2019-07-28 12:59:32,33,68,98,100,13,0
2019-02-26 03:34:44,80,22,42,453,256,1
2019-07-12 14:07:50,27,46,25,971,94,0
2019-05-08 12:31:36,32,73,28,71,40,6
2019-05-24 22:19:48,99,66,78,147,86,8
2019-12-11 13:14:10,16,67,71,238,1,0
2019-06-07 11:26:29,68,19,79,384,214,6
2019-09-20 02:50:40,21,74,45,570,74,8
2019-10-02 21:27:52,35,73,80,530,101,6
2019-10-21 23:52:45,2,50,19,744,160,0
2019-12-03 02:54:40,85,35,79,120,232,9
2019-08-18 07:35:08,6,84,37,536,324,9
2019-12-29 07:54:35,38,53,58,921,201,5
2019-02-19 02:19:19,84,27,83,395,179,4
2019-04-19 10:29:48,55,22,42,152,133,3
2019-02-05 14:55:13,0,62,73,710,348,9
2019-09-25 06:12:48,66,97,49,664,37,0
2019-03-24 11:18:44,89,60,52,458,213,1
2019-05-12 11:45:27,85,39,6,748,66,5
2019-03-30 09:30:09,6,92,28,315,65,2
2019-05-06 13:52:30,55,28,74,765,190,8
2019-02-11 04:26:10,41,64,64,405,153,9
2019-12-07 05:35:08,52,53,72,812,68,1
2019-04-27 17:00:29,87,61,70,475,40,3
2019-03-31 15:20:18,40,72,97,648,351,0
2019-07-21 19:24:38,48,67,75,58,106,7
2019-04-12 11:40:02,7,89,88,383,1,8
2019-03-28 14:42:23,67,79,60,295,24,9
2019-08-05 15:36:47,48,31,91,352,234,2
2019-02-07 20:56:18,55,61,67,384,309,9
2019-02-26 07:29:09,22,58,23,186,198,2
2019-07-10 10:22:37,73,37,73,273,142,0
2019-02-05 10:54:10,47,48,43,469,151,0
2019-05-26 13:35:11,38,87,90,454,249,1
2019-05-09 01:18:27,21,66,75,116,32,8
2019-04-21 06:32:11,6,72,33,495,235,1
2019-04-26 07:05:21,75,78,96,892,203,1
2019-01-12 05:44:17,15,63,70,526,193,6
2019-11-14 21:40:36,27,41,96,637,227,5
2019-09-29 08:36:52,10,58,94,303,67,8
2019-05-20 05:27:31,16,52,94,919,224,6
2019-11-10 15:41:14,37,61,98,133,249,9
2019-11-26 10:46:00,26,62,64,778,347,9
2019-02-07 00:17:46,82,59,78,643,259,5
2019-05-02 17:47:18,55,76,39,120,296,3
2019-01-23 01:44:17,94,86,59,181,168,0
2019-10-31 18:18:30,25,43,95,859,87,3
2019-05-10 10:09:40,38,91,97,8,123,4
2019-09-09 00:28:20,78,19,55,617,69,6
2019-10-01 21:49:37,17,39,41,65,319,5
2019-05-02 22:31:07,59,77,52,87,356,7
2019-01-07 02:41:07,37,65,86,638,338,7
2019-10-23 14:42:55,55,89,94,748,145,2
2019-05-14 16:34:00,25,96,88,641,353,9
2019-09-24 01:14:34,43,96,46,283,208,7
2019-09-19 16:43:30,33,58,62,538,28,7
2019-11-06 06:23:57,44,28,82,830,53,6
2019-12-14 19:40:09,55,86,38,154,74,3
2019-02-14 05:00:18,35,56,97,51,39,3
2019-06-27 20:08:57,27,45,92,185,323,4
2019-05-03 14:13:49,38,14,95,591,130,9
2019-12-04 11:18:34,42,57,56,676,84,5
2019-07-04 15:47:17,41,93,94,428,312,5
2019-04-19 09:15:53,52,29,73,869,143,2
2019-12-28 14:04:27,39,90,21,718,32,8
2019-07-29 00:51:43,17,38,19,536,93,9
2019-03-17 18:18:04,36,87,25,751,338,9
2019-05-06 17:46:33,84,62,86,44,343,5
2019-05-25 16:23:43,40,96,64,419,157,9
2019-02-21 10:08:43,4,82,69,943,320,0
2019-10-21 04:12:53,42,75,88,166,13,4
2019-06-17 02:13:36,92,30,70,66,216,9
2019-06-02 15:51:10,92,17,40,668,341,8
2019-02-13 20:52:00,12,75,96,282,228,6
2019-02-04 12:20:15,68,46,74,70,208,7
2019-06-23 16:27:52,71,44,64,785,279,2
2019-12-15 19:10:37,34,86,42,878,351,1
2019-09-08 14:54:38,91,31,71,783,64,6
2019-11-10 11:42:21,77,90,87,74,119,4
2019-08-22 02:38:43,10,71,88,827,130,2
2019-10-01 01:06:15,83,19,19,827,96,0
2019-05-04 09:11:56,28,80,40,119,250,3
2019-09-28 10:14:08,68,44,85,970,188,7
2019-08-04 19:28:45,78,74,58,18,33,8
2019-01-19 12:29:07,64,43,85,759,260,3
2019-12-09 14:15:36,36,78,46,739,3,2
2019-05-01 23:02:18,76,63,71,681,346,9
2019-10-09 15:17:27,36,31,74,215,214,5
2019-06-25 16:47:06,85,96,94,276,161,8
2019-12-09 00:37:13,32,66,31,436,123,3
2019-04-24 12:42:58,10,73,98,603,263,3
2019-11-25 07:08:11,6,34,88,875,134,1
2019-09-19 14:39:53,37,41,72,180,282,0
2019-08-29 09:04:00,63,44,63,16,173,9
2019-10-28 07:51:06,38,66,78,155,154,8
2019-12-09 07:36:09,3,58,91,475,90,0
2019-07-07 14:39:55,69,10,63,862,266,7
2019-07-16 20:15:33,92,19,95,552,99,0
2019-03-15 06:09:05,16,80,82,80,78,0
2019-08-07 03:56:34,70,59,30,530,285,9
2019-11-18 01:00:41,77,40,55,53,214,0
2019-11-12 07:50:43,16,49,49,517,135,9
2019-04-26 07:27:15,36,50,59,630,296,2
2019-11-07 06:06:43,16,93,49,673,171,2
2019-03-07 21:11:26,82,80,78,997,265,9
2019-06-25 01:47:15,33,86,91,927,189,4
2019-02-27 18:39:40,93,18,49,425,52,9
2019-06-20 01:35:06,48,42,89,699,259,4
2019-03-23 20:17:03,97,77,96,815,208,6
2019-10-01 00:46:56,21,74,19,784,35,1
2019-07-25 21:33:50,39,72,72,575,115,2
2019-05-15 18:12:15,73,89,86,608,322,2
2019-11-11 17:44:01,16,23,20,28,138,7
2019-01-14 19:55:18,65,47,96,209,287,0
2019-01-15 11:29:19,0,15,83,884,24,2
2019-02-11 06:35:36,63,84,73,949,82,2
2019-01-01 22:27:35,22,81,92,335,32,7
2019-06-18 16:42:22,96,70,68,857,223,4
2019-09-27 09:26:13,88,64,83,983,222,3
2019-08-19 12:44:49,7,83,75,559,58,4
2019-09-10 10:41:04,10,97,32,892,191,4
2019-08-28 07:35:55,85,55,73,111,308,0
2019-10-15 10:08:18,13,91,82,964,78,8
2019-12-04 07:38:36,32,36,79,820,278,6
2019-10-03 11:08:54,49,53,80,708,171,6
2019-12-13 12:29:29,1,88,75,854,322,2
2019-08-21 15:13:57,99,78,93,60,126,3
2019-10-08 20:35:13,82,71,78,446,320,1
2019-06-08 16:15:59,63,50,86,517,96,5
2019-08-26 08:38:44,87,88,71,0,353,8
2019-04-30 01:26:32,19,90,47,207,279,4
2019-03-24 23:57:53,69,53,27,266,308,3
2019-10-09 14:36:37,77,43,89,814,341,7
2019-12-11 11:41:28,23,81,45,892,297,9
2019-05-15 04:09:29,56,57,93,827,312,9
2019-01-13 22:23:10,79,9,67,93,86,1
2019-07-22 19:28:03,16,19,78,749,83,7
2019-09-28 17:21:09,6,42,32,292,321,7
2019-12-04 07:17:20,68,77,11,991,90,1
2019-10-22 15:58:43,0,92,75,869,307,6
2019-09-08 02:53:30,87,8,40,227,240,9
2019-03-10 12:47:30,59,19,97,910,98,2
2019-11-21 10:41:40,18,63,65,711,276,0
2019-09-10 08:18:22,47,25,11,370,241,0
2019-03-11 16:16:41,43,63,32,295,351,4
2019-07-06 01:01:23,92,87,66,462,222,0
2019-12-26 00:29:58,43,36,93,823,269,7
2019-02-11 15:29:29,70,35,53,412,212,5
2019-03-19 20:39:02,77,50,71,968,144,6
2019-09-29 18:08:40,14,79,85,816,299,2
2019-02-07 15:58:39,78,73,84,574,129,4
2019-08-09 12:01:32,85,14,50,617,291,3
2019-09-11 07:02:13,48,83,47,550,261,2
2019-09-04 11:28:21,3,84,62,218,238,0
2019-06-21 13:27:35,26,59,57,991,274,3
2019-07-07 01:33:02,43,50,74,157,279,8
2019-12-04 19:51:58,66,91,95,237,136,6
2019-09-06 08:06:08,23,77,67,640,196,3
2019-06-07 07:21:10,2,59,72,808,111,0
2019-04-03 08:47:23,84,75,86,196,341,5
2019-05-14 10:34:40,18,76,57,628,297,4
2019-10-09 13:19:06,96,90,89,989,116,1
2019-05-29 13:44:41,28,78,43,241,7,2
2019-07-18 17:13:40,71,21,63,434,45,1
2019-01-31 16:40:32,77,86,92,38,326,5
2019-04-30 01:35:10,8,63,66,356,13,5
2019-10-10 01:54:18,50,46,68,770,297,7
2019-09-27 21:23:22,94,57,78,217,29,9
2019-12-28 03:13:52,56,41,86,781,326,2
2019-05-15 10:36:08,89,39,65,913,106,8
2019-07-14 12:55:37,64,75,41,560,173,6
2019-05-24 13:22:30,75,38,82,328,178,4
2019-09-01 22:21:37,74,84,73,190,258,7
2019-07-01 04:04:22,77,57,58,956,194,0
2019-12-19 10:34:59,36,37,86,276,181,2
2019-07-23 22:30:52,73,28,36,578,65,4
2019-07-22 19:59:58,96,76,77,531,202,6
2019-05-10 22:12:31,97,59,49,144,192,8
2019-04-27 12:24:28,36,16,79,535,351,4
2019-12-19 06:32:44,46,60,39,441,143,0
2019-12-04 20:36:53,74,68,84,399,281,4
2019-10-20 06:33:52,97,89,18,426,161,2
2019-06-23 05:34:52,42,55,84,708,169,2
2019-07-23 09:32:19,69,46,34,807,17,5
2019-07-05 02:54:35,36,53,50,453,91,5
2019-04-08 12:18:28,37,62,94,655,57,7
2019-01-31 15:42:51,15,91,48,306,278,7
2019-05-03 20:57:23,69,80,29,393,177,9
2019-03-11 12:00:53,75,83,68,506,159,3
2019-03-06 12:01:57,42,90,65,419,299,6
2019-10-15 17:17:22,80,49,92,686,88,2
2019-03-08 00:30:16,14,59,37,807,113,2
2019-11-07 07:05:04,42,67,33,568,251,0
2019-12-08 08:46:55,98,64,93,513,167,2
2019-08-22 13:26:17,5,64,67,160,87,8
2019-03-02 23:04:13,84,62,65,877,187,8
2019-02-06 03:08:00,79,67,32,833,60,6
2019-09-04 20:17:06,89,94,89,243,331,0
2019-04-09 02:30:38,21,31,53,356,315,0
2019-06-27 23:06:39,28,91,81,587,339,2
2019-07-26 02:36:58,36,72,81,176,268,2
2019-11-29 23:38:44,51,82,93,486,186,9
2019-02-03 16:22:01,20,35,44,972,52,8
2019-10-12 13:03:26,30,85,68,371,84,7
2019-11-27 17:17:40,59,72,80,640,73,1
2019-08-05 15:17:41,23,76,93,595,7,8
2019-05-13 06:13:51,86,70,72,573,36,5
2019-01-09 09:15:48,68,66,95,927,36,2
2019-07-13 01:12:46,87,61,75,119,233,4
2019-01-25 09:26:25,42,66,36,597,238,8
2019-10-14 12:18:07,15,60,83,924,318,3
2019-11-08 14:41:36,70,29,81,268,50,9
2019-04-08 02:54:05,64,90,28,477,243,5
2019-10-27 06:38:32,57,42,67,392,66,9
2019-03-10 06:10:39,91,58,42,764,209,8
2019-07-11 17:13:20,44,45,40,472,329,2
2019-10-04 09:40:22,71,39,52,444,138,7
2019-11-03 07:55:10,97,52,79,791,310,7
2019-09-07 10:36:55,63,6,21,85,185,4
2019-10-15 04:54:26,62,75,51,906,345,5
2019-09-02 21:00:14,95,32,91,920,346,8
2019-10-24 01:08:23,51,40,63,63,111,2
2019-01-22 04:03:26,19,90,85,57,154,0
2019-01-30 08:41:09,74,96,91,710,9,9
2019-02-20 13:41:12,81,8,85,187,266,5
2019-05-19 01:22:26,79,48,70,186,142,9
2019-04-01 12:47:57,54,55,77,348,295,8
2019-12-06 20:57:42,48,11,90,932,46,6
2019-03-16 07:20:25,46,61,90,488,243,5
2019-05-21 23:30:12,98,87,96,142,213,7
2019-05-14 00:35:45,95,25,54,390,200,0
2019-04-06 01:38:15,82,50,12,27,109,3
2019-11-08 08:02:42,91,79,76,298,180,9
2019-12-29 10:40:23,64,86,89,404,72,3
2019-04-03 03:38:00,39,81,97,313,323,0
2019-12-28 17:10:40,16,10,15,68,275,2
2019-03-24 08:50:24,84,94,76,444,187,4
2019-09-09 01:07:26,47,45,78,888,344,3
2019-11-27 04:07:38,58,37,47,53,226,5
2019-09-16 07:31:22,11,73,27,596,51,2
2019-09-15 23:48:56,39,58,83,589,32,2
2019-02-10 09:04:41,65,76,72,781,101,7
2019-09-09 06:05:09,79,28,95,60,103,5
2019-11-28 11:43:42,19,90,15,503,52,5
2019-01-21 08:31:00,1,5,65,403,67,5
2019-09-26 04:06:04,26,66,95,61,234,1
2019-03-06 09:24:15,45,62,65,144,258,3
2019-10-30 10:48:43,63,90,68,797,185,5
2019-02-18 09:38:25,95,68,43,61,277,2
2019-05-30 08:27:38,80,88,35,307,38,8
2019-01-19 07:33:58,74,47,48,207,324,0
2019-03-15 01:06:19,72,33,98,681,353,1
2019-01-22 06:01:35,39,89,58,812,207,4
2019-06-30 00:38:23,56,20,66,985,214,1
2019-10-24 08:47:14,28,84,97,383,346,9
2019-09-29 19:24:06,84,81,95,828,67,4
2019-01-23 09:07:16,51,66,36,979,353,9
2019-05-29 09:07:56,64,95,97,122,297,7
2019-12-21 13:31:26,46,56,67,916,160,9
2019-04-09 11:58:27,6,49,72,508,114,0
2019-04-05 14:56:07,7,85,83,539,275,7
2019-03-13 06:40:18,98,79,18,357,11,7
2019-09-24 21:31:19,99,43,78,659,114,1
2019-06-22 13:11:59,83,64,46,813,139,5
2019-08-01 08:50:47,85,48,91,14,263,3
2019-12-25 05:55:42,9,17,31,103,157,8
2019-09-08 00:17:57,50,37,73,890,81,6
2019-10-17 08:14:19,72,81,97,178,142,9
2019-10-16 14:56:42,80,63,61,948,97,6
2019-07-23 19:44:55,17,47,92,776,256,5
2019-05-18 12:35:58,25,91,44,291,279,1
2019-07-25 17:42:33,8,76,74,768,166,0
2019-01-26 05:29:57,37,49,60,851,146,4
2019-11-07 03:45:59,65,52,97,223,102,4
2019-06-07 21:16:14,67,77,62,487,347,2
2019-07-07 20:26:48,53,78,54,287,85,8
2019-10-22 10:16:41,13,15,11,872,214,9
2019-09-02 22:37:36,79,72,55,636,224,9
2019-08-24 18:49:35,59,79,63,552,222,0
2019-05-02 17:53:02,83,90,16,218,154,7
2019-09-11 00:55:30,85,65,66,994,238,1
2019-09-28 18:26:14,14,19,42,971,315,3
2019-01-14 07:13:28,34,55,71,881,120,9
2019-09-29 09:04:36,95,88,67,865,201,7
2019-11-18 12:17:44,87,40,89,458,353,9
2019-02-16 12:29:05,43,35,86,194,2,2
2019-07-17 03:22:39,60,93,37,712,250,0
2019-06-29 19:14:08,88,83,40,21,231,7
2019-11-13 02:34:21,70,51,82,598,121,5
2019-03-07 02:00:11,83,73,55,808,39,1
2019-10-15 15:37:48,60,57,86,622,87,4
2019-10-19 01:53:07,92,37,91,275,109,3
2019-01-31 13:39:13,43,64,75,209,108,7
2019-04-09 01:34:24,79,37,91,265,177,7
2019-10-15 06:24:14,91,59,77,582,326,5
2019-09-30 18:34:16,80,49,91,492,64,9
2019-03-24 19:10:11,55,80,97,87,158,4
2019-03-04 10:12:46,53,49,96,761,181,0
2019-09-25 18:30:48,91,51,70,888,190,9
2019-01-15 22:30:51,71,84,37,23,50,5
2019-09-17 15:35:35,96,62,48,615,99,3
2019-04-13 21:47:17,90,87,89,424,223,5
2019-07-30 22:48:55,83,66,64,759,199,8
2019-06-23 00:06:49,41,84,95,654,244,7
2019-08-28 20:54:10,99,91,89,700,1,5
2019-01-03 08:05:51,90,84,44,71,272,7
2019-08-27 00:58:24,87,63,95,892,59,1
2019-05-16 14:46:52,33,21,89,42,314,2
2019-11-03 22:20:53,79,52,47,454,222,9
2019-08-08 14:51:44,27,20,95,871,221,2
2019-08-25 11:31:22,96,24,92,461,47,9
2019-07-18 05:38:26,56,52,63,40,303,3
2019-12-11 03:47:24,49,17,82,650,55,6
2019-04-16 15:05:47,45,64,59,520,311,3
2019-11-26 03:16:02,89,72,30,148,266,6
2019-03-01 15:24:37,43,53,84,499,152,2
2019-10-29 12:56:17,88,64,84,41,322,3
2019-04-03 13:35:02,95,56,22,740,96,5
2019-08-15 20:30:11,86,12,39,208,100,8
2019-09-25 07:12:45,49,75,53,455,208,9
2019-08-30 14:42:42,83,97,97,837,222,1
2019-04-03 00:08:45,75,83,36,495,266,4
2019-05-04 05:56:21,6,51,85,343,326,4
2019-01-27 23:07:45,17,96,50,900,161,0
2019-06-20 21:36:21,91,88,57,634,58,2
2019-03-04 15:42:47,8,51,79,762,305,9
2019-03-05 13:45:40,22,7,48,399,276,8
2019-09-18 08:21:47,31,38,90,520,266,8
2019-10-22 18:58:15,43,72,57,666,318,8
2019-01-12 17:39:47,3,65,89,671,267,2
2019-01-17 20:36:07,81,90,26,541,268,5
2019-11-03 07:38:40,21,94,28,950,217,9
2019-01-21 14:24:29,68,78,90,900,3,3
2019-03-05 12:29:08,25,40,24,868,311,0
2019-07-13 06:16:54,58,75,55,641,131,5
2019-01-17 19:27:13,58,45,55,744,210,1
2019-01-02 20:42:50,33,55,98,510,253,8
2019-09-04 14:18:54,79,35,84,691,163,8
2019-04-16 05:06:08,44,52,56,329,105,6
2019-11-07 17:53:05,99,77,57,162,224,1
2019-10-12 23:31:59,79,55,69,625,75,1
2019-11-29 13:07:27,59,60,61,379,175,4
2019-04-20 20:09:13,34,36,43,952,87,8
2019-08-26 19:45:08,84,68,35,583,286,1
2019-08-28 19:27:34,89,75,79,916,108,6
2019-07-05 00:52:41,32,46,87,310,70,0
2019-08-26 04:43:28,26,67,96,551,350,4
2019-09-01 15:15:54,50,95,68,985,355,7
2019-04-10 22:52:06,60,52,85,273,301,4
2019-04-08 04:53:33,51,88,93,865,301,6
2019-02-11 05:27:43,26,10,60,855,5,2
2019-04-21 01:31:16,17,77,65,513,147,3
2019-03-27 11:01:59,69,33,79,992,206,6
2019-11-17 08:41:57,27,91,85,72,8,9
2019-06-26 12:23:37,95,16,70,267,317,9
2019-07-23 02:27:24,25,50,33,85,354,2
2019-12-27 05:30:14,12,68,60,656,109,6
2019-09-21 07:18:04,6,38,42,330,200,0
2019-07-16 07:01:22,27,88,84,661,245,9
2019-03-04 03:00:24,80,89,86,312,225,0
2019-05-11 02:35:44,25,88,39,720,127,4
2019-11-23 08:31:15,92,56,69,375,174,3
2019-01-14 13:50:24,72,74,34,98,82,6
2019-07-05 02:03:40,34,11,77,201,317,5
2019-04-18 02:18:46,25,74,96,135,196,6
2019-12-02 08:53:03,5,79,64,737,307,4
2019-09-10 10:17:46,3,36,55,509,302,9
2019-08-13 12:50:06,15,90,61,615,290,1
2019-08-26 04:14:54,78,50,46,768,154,4
2019-11-15 03:22:58,4,49,71,679,115,1
2019-11-29 04:28:13,91,76,65,308,322,2
2019-07-07 05:41:48,26,64,79,575,26,9
2019-08-01 12:00:49,29,47,71,133,143,0
2019-04-15 04:21:10,37,85,59,783,135,3
2019-07-02 22:23:12,34,86,96,729,131,6
2019-02-13 04:14:43,9,72,58,443,149,4
2019-07-18 00:38:59,46,84,74,270,163,0
2019-03-05 18:46:15,26,40,96,391,176,6
2019-07-02 03:51:38,41,84,49,409,251,6
2019-05-10 18:42:07,45,49,64,937,15,3
2019-02-18 19:15:23,92,42,44,14,343,0
